10% Dekstran 40 000 Fresenius roztw. do inf.(100 mg/ml) - but. 250 ml,32.35
10% Dekstran 40 000 Fresenius roztw. do inf.(100 mg/ml) - but. 500 ml,53.23
4Flex proszek do sporz. roztw. doustnego(smak czarnej porzeczki) - 30 saszetek,118.80
4Flex proszek do sporz. roztw. doustnego(smak neutralny) - 30 saszetek,76.00
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(1 g/20 ml) - 1 fiolka 20 ml,22.90
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(250 mg/5 ml) - 1 fiolka  5 ml,9.26
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(250 mg/5 ml) - 5 amp. 5 ml,19.48
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(5 g/100 ml) - 1 fiolka 100 ml,77.43
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(500 mg/10 ml) - 1 fiolka 10 ml,17.79
Abaktal® roztw. do inf.(400 mg/5 ml) - 10 amp. 5 ml,56.82
Abaktal® tabl. powl.(400 mg) - 10 szt.,37.46
Abasaglar roztw. do wstrz.(100 j.m./ml) - 10 wkł. 3 ml,107.32
ABE płyn na skórę((89 mg+89 mg)/g) - but. 8 g,9.42
10% Dekstran 40 000 Fresenius roztw. do inf.(100 mg/ml) - but. 250 ml,32.35
10% Dekstran 40 000 Fresenius roztw. do inf.(100 mg/ml) - but. 500 ml,53.23
4Flex proszek do sporz. roztw. doustnego(smak czarnej porzeczki) - 30 saszetek,118.80
4Flex proszek do sporz. roztw. doustnego(smak neutralny) - 30 saszetek,76.00
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(1 g/20 ml) - 1 fiolka 20 ml,22.90
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(250 mg/5 ml) - 1 fiolka  5 ml,9.26
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(250 mg/5 ml) - 5 amp. 5 ml,19.48
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(5 g/100 ml) - 1 fiolka 100 ml,77.43
5-Fluorouracil-Ebewe roztw. do wstrz. i (lub) inf.(500 mg/10 ml) - 1 fiolka 10 ml,17.79
Abaktal® roztw. do inf.(400 mg/5 ml) - 10 amp. 5 ml,56.82
Abaktal® tabl. powl.(400 mg) - 10 szt.,37.46
Abasaglar roztw. do wstrz.(100 j.m./ml) - 10 wkł. 3 ml,107.32
ABE płyn na skórę((89 mg+89 mg)/g) - but. 8 g,9.42
Abilify Maintena proszek i rozp. do sporz. zaw. do wstrz. o przedł. uwalnianiu(400 mg) - 1 fiol. proszku + fiol. rozp.,0.00
"Abilify roztw. do wstrz.(7,5 mg/ml) - fiolka 1,3 ml",19.82
Abilify tabl.(10 mg) - 28 szt.,528.60
Abilify tabl.(15 mg) - 28 szt.,9.05
Abilify tabl.(15 mg) - 56 szt.,5.97
Abilify tabl.(30 mg) - 56 szt.,11.95
Abra test paskowy - 50 szt.,3.20
Abrea tabl. dojelitowe(75 mg) - 90 szt.,8.55
Absenor tabl. o przedł. uwalnianiu(300 mg) - 100 szt.,0.00
Abilify Maintena proszek i rozp. do sporz. zaw. do wstrz. o przedł. uwalnianiu(400 mg) - 1 fiol. proszku + fiol. rozp.,0.00
"Abilify roztw. do wstrz.(7,5 mg/ml) - fiolka 1,3 ml",19.82
Abilify tabl.(10 mg) - 28 szt.,528.60
Abilify tabl.(15 mg) - 28 szt.,9.05
Abilify tabl.(15 mg) - 56 szt.,5.97
Abilify tabl.(30 mg) - 56 szt.,11.95
Abra test paskowy - 50 szt.,3.20
Abrea tabl. dojelitowe(75 mg) - 90 szt.,8.55
Absenor tabl. o przedł. uwalnianiu(300 mg) - 100 szt.,0.00
Absenor tabl. o przedł. uwalnianiu(500 mg) - 100 szt.,0.00
Acai kaps. - 100 szt.,39.00
Acard® 150 mg tabl. dojelitowe(150 mg) - 30 szt.,12.19
Acard® 150 mg tabl. dojelitowe(150 mg) - 60 szt.,21.25
Acard® 300 mg tabl.(300 mg) - 1 szt.,4.74
Acard® 300 mg tabl.(300 mg) - 10 szt.,3.83
Acard® tabl. dojelitowe(75 mg) - 120 szt.,25.11
Acard® tabl. dojelitowe(75 mg) - 30 szt.,6.79
Acard® tabl. dojelitowe(75 mg) - 60 szt.,10.76
Acarizax liof. doustny - standaryzowany wyciąg alergenowy roztoczy kurzu domowego(12 SQ-HDM) - 30 szt.,500.00
"Acatar Acti-Tabs tabl.(60 mg+2,5 mg) - 12 szt.",15.42
"Acatar Control aerozol do nosa, roztw.(0,5 mg/ml) - 1 poj. 15 ml",15.83
Acatar Zatoki tabl. powl.(200 mg+30 mg) - 12 szt.,11.87
ACC® classic roztw. doustny(20 mg/ml) - but. 100 ml,15.35
ACC® classic roztw. doustny(20 mg/ml) - but. 200 ml,19.40
ACC® Hot granulat do sporz. roztw. doustnego(200 mg) - 20 saszetek po 3 g,18.05
ACC® mini proszek do sporz. roztw. doustnego(100 mg) - 20 saszetek po 3 g,14.30
ACC® mini tabl. musujące(100 mg) - 20 szt.,14.10
ACC® optima Active proszek doustny(600 mg) - 10 saszetek,15.00
ACC® optima Hot proszek do sporz. roztw. doustnego(600 mg) - 10 saszetek po 3 g,19.55
Absenor tabl. o przedł. uwalnianiu(500 mg) - 100 szt.,0.00
Acai kaps. - 100 szt.,39.00
Acard® 150 mg tabl. dojelitowe(150 mg) - 30 szt.,12.19
Acard® 150 mg tabl. dojelitowe(150 mg) - 60 szt.,21.25
Acard® 300 mg tabl.(300 mg) - 1 szt.,4.74
Acard® 300 mg tabl.(300 mg) - 10 szt.,3.83
Acard® tabl. dojelitowe(75 mg) - 120 szt.,25.11
Acard® tabl. dojelitowe(75 mg) - 30 szt.,6.79
Acard® tabl. dojelitowe(75 mg) - 60 szt.,10.76
Acarizax liof. doustny - standaryzowany wyciąg alergenowy roztoczy kurzu domowego(12 SQ-HDM) - 30 szt.,500.00
"Acatar Acti-Tabs tabl.(60 mg+2,5 mg) - 12 szt.",15.42
"Acatar Control aerozol do nosa, roztw.(0,5 mg/ml) - 1 poj. 15 ml",15.83
Acatar Zatoki tabl. powl.(200 mg+30 mg) - 12 szt.,11.87
ACC® classic roztw. doustny(20 mg/ml) - but. 100 ml,15.35
ACC® classic roztw. doustny(20 mg/ml) - but. 200 ml,19.40
ACC® Hot granulat do sporz. roztw. doustnego(200 mg) - 20 saszetek po 3 g,18.05
ACC® mini proszek do sporz. roztw. doustnego(100 mg) - 20 saszetek po 3 g,14.30
ACC® mini tabl. musujące(100 mg) - 20 szt.,14.10
ACC® optima Active proszek doustny(600 mg) - 10 saszetek,15.00
ACC® optima Hot proszek do sporz. roztw. doustnego(600 mg) - 10 saszetek po 3 g,19.55
ACC® optima tabl. musujące(600 mg) - 10 szt.,13.90
ACC® tabl. musujące(200 mg) - 20 szt.,15.90
ACC® tabl.(200 mg) - 20 szt.,14.18
"Accofil roztw. do wstrz. i (lub) inf.(30 mln j./0,5 ml) - 1 amp.-strz.",38.44
"Accofil roztw. do wstrz. i (lub) inf.(30 mln j./0,5 ml) - 5 amp.-strz.",12.00
"Accofil roztw. do wstrz. i (lub) inf.(30 mln j./0,5 ml) - 7 amp.-strz.",24.51
"Accofil roztw. do wstrz. i (lub) inf.(48 mln j./0,5 ml) - 1 amp.-strz.",62.50
"Accofil roztw. do wstrz. i (lub) inf.(48 mln j./0,5 ml) - 5 amp.-strz.",20.33
"Accofil roztw. do wstrz. i (lub) inf.(48 mln j./0,5 ml) - 7 amp.-strz.",37.33
Accordeon tabl. o przedł. uwalnianiu(10 mg) - 100 szt.,6.88
Accordeon tabl. o przedł. uwalnianiu(10 mg) - 60 szt.,10.38
Accordeon tabl. o przedł. uwalnianiu(20 mg) - 100 szt.,4.11
Accordeon tabl. o przedł. uwalnianiu(20 mg) - 60 szt.,5.34
Accordeon tabl. o przedł. uwalnianiu(40 mg) - 100 szt.,5.69
Accordeon tabl. o przedł. uwalnianiu(5 mg) - 100 szt.,6.78
Accordeon tabl. o przedł. uwalnianiu(80 mg) - 100 szt.,11.38
Accu-Chek® Active test paskowy - 50 szt.,3.32
Accu-Chek® Instant test paskowy - 100 szt.,6.40
Accu-Chek® Performa test paskowy - 50 szt.,3.20
Accupro®  5 tabl. powl.(5 mg) - 30 szt.,9.06
ACC® optima tabl. musujące(600 mg) - 10 szt.,13.90
ACC® tabl. musujące(200 mg) - 20 szt.,15.90
ACC® tabl.(200 mg) - 20 szt.,14.18
"Accofil roztw. do wstrz. i (lub) inf.(30 mln j./0,5 ml) - 1 amp.-strz.",38.44
"Accofil roztw. do wstrz. i (lub) inf.(30 mln j./0,5 ml) - 5 amp.-strz.",12.00
"Accofil roztw. do wstrz. i (lub) inf.(30 mln j./0,5 ml) - 7 amp.-strz.",24.51
"Accofil roztw. do wstrz. i (lub) inf.(48 mln j./0,5 ml) - 1 amp.-strz.",62.50
"Accofil roztw. do wstrz. i (lub) inf.(48 mln j./0,5 ml) - 5 amp.-strz.",20.33
"Accofil roztw. do wstrz. i (lub) inf.(48 mln j./0,5 ml) - 7 amp.-strz.",37.33
